Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/28.png,27,750,2014,No,2523,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/27
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/29.png,28,750,2014,No,2524,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/28
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/30.png,29,750,2014,No,2525,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/29
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/31.png,30,750,2014,No,2526,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/30
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/32.png,31,750,2014,No,2508,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/31
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/33.png,32,750,2014,No,2507,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/32
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/34.png,33,750,2014,No,2151,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/33
Domaine de la Romanée-Conti La Tâche 2000,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/35.png,34,750,2000,No,1238,Decanter - 98/100,Wine Advocate - 96/100,Vinous - 94/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/34
Domaine de la Romanée-Conti La Tâche 2000,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/36.png,35,750,2000,No,1239,Decanter - 98/100,Wine Advocate - 96/100,Vinous - 94/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/35
Domaine de la Romanée-Conti La Tâche 2004,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/37.png,36,750,2004,No,1236,Jancis Robinson - 18.5/20,Vinous - 94/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/36
