Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Château d'Yquem Sauternes 1981,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/71.png,70,750,1981,No,495,Vinous - 90/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/70
Château d'Yquem Sauternes 1982,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/72.png,71,750,1982,No,502,Jancis Robinson - 16.5/20,Vinous - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/71
Château d'Yquem Sauternes 1982,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/73.png,72,750,1982,No,471,Jancis Robinson - 16.5/20,Vinous - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/72
Château d'Yquem Sauternes 1983,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/74.png,73,750,1983,No,454,Jancis Robinson - 20/20,Wine Spectator - 98/100,Robert Parker - 96/100,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/73
Château d'Yquem Sauternes 1984,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/75.png,74,750,1984,No,399,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/74
Château d'Yquem Sauternes 1985,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/76.png,75,750,1985,No,412,Wine Spectator - 94/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/75
Château d'Yquem Sauternes 1985,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/77.png,76,750,1985,No,473,Wine Spectator - 94/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/76
Château d'Yquem Sauternes 1986,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/78.png,77,750,1986,No,417,Jancis Robinson - 18.5/20,Robert Parker - 96/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/77
Château d'Yquem Sauternes 1986,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/79.png,78,750,1986,No,462,Jancis Robinson - 18.5/20,Robert Parker - 96/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/78
Château d'Yquem Sauternes 1988,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/80.png,79,750,1988,No,229,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/79
Château d'Yquem Sauternes 1988,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/81.png,80,750,1988,No,400,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/80
Château d'Yquem Sauternes 1988,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/82.png,81,1500,1988,No,260,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/81
Château d'Yquem Sauternes 1988,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/83.png,82,1500,1988,No,259,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/82
Château d'Yquem Sauternes 1989,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/84.png,83,750,1989,No,493,Jancis Robinson - 19/20,Wine Advocate - 97/100,Wine Spectator - 97/100,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/83
