Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
55,Domaine de la Romanée-Conti,Richebourg,2012,750,1,Yes,No,2157,,One of the top scoring vintages.,Wine Advocate - 97/100,Vinous - 96+/100,
56,Domaine de la Romanée-Conti,Romanée-Conti,2009,750,1,Yes,No,1245,,,Decanter - 100/100,Vinous - 98+/100,
57,Domaine de la Romanée-Conti,Romanée-Conti,2009,750,1,Yes,No,1244,,,Decanter - 100/100,Vinous - 98+/100,
58,Domaine de la Romanée-Conti,Romanée-Conti,2010,750,1,Yes,No,1012,,One of the top scoring vintages. 'Marvelously fine and intense. Really quite excellent.' - Decanter.com,Decanter - 100/100,Jancis Robinson - 19.5/20,Vinous - 98+/100
59,Domaine de la Romanée-Conti,Romanée-Conti,2010,750,1,Yes,No,1013,,One of the top scoring vintages. 'Marvelously fine and intense. Really quite excellent.' - Decanter.com,Decanter - 100/100,Jancis Robinson - 19.5/20,Vinous - 98+/100
60,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2001,750,1,Yes,No,1920,,,Jancis Robinson - 18/20,Vinous - 94+/100,
61,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2002,750,1,Yes,No,1242,,One of the best vintages for Romanée-Saint-Vivant.,Vinous - 95+/100,Wine Advocate - 95/100,
62,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2006,750,1,Yes,No,1921,,,Vinous - 95/100,Wine Advocate - 95/100,Decanter -  91/100
63,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2010,750,1,Yes,No,1240,,One of the best vintages for Romanée-Saint-Vivant.,Jancis Robinson - 19/20,Wine Advocate - 95-97/100,Vinous - 95/100
64,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2010,750,1,Yes,No,1241,,One of the best vintages for Romanée-Saint-Vivant.,Jancis Robinson - 19/20,Wine Advocate - 95-97/100,Vinous - 95/100
65,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2013,750,1,Yes,No,1923,,,Jancis Robinson - 19/20,Decanter - 95/100,Vinous - 94+/100
66,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2547,OWC - 6 bottle,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
67,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2548,OWC - 6 bottle,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
68,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2549,OWC - 6 bottle,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
69,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2550,OWC - 6 bottle,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
70,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2551,OWC - 6 bottle,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
71,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2554,OWC - 6 bottle,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
72,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2406,,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
73,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2407,,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
74,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2408,,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
75,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2409,,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
76,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2410,,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
77,Domaine de la Romanée-Conti,Romanée-Saint-Vivant,2014,750,1,Yes,No,2411,,,Decanter - 96/100,Jancis Robinson - 18.5/20,Wine Advocate - 95/100
78,Domaine de la Romanée-Conti,Vosne-Romanée 1er Cru 'Cuvée Duvault-Blochet',2008,750,1,Yes,No,2388,,,Vinous - 91/100,Wine Advocate - 91/100,
79,Domaine de la Romanée-Conti,Vosne-Romanée 1er Cru 'Cuvée Duvault-Blochet',2008,750,1,Yes,No,2389,,,Vinous - 91/100,Wine Advocate - 91/100,
80,Domaine de la Romanée-Conti,Vosne-Romanée 1er Cru 'Cuvée Duvault-Blochet',2008,750,1,Yes,No,2390,,,Vinous - 91/100,Wine Advocate - 91/100,
